question_number,question_topic,group,question
1,Generalround,A,What is the name of only robot that is able to receive the citizenship 
2,Generalround,A,Which country has the only flag that isn't in rectangular shape? 
3,Generalround,A,"Which surgeon of Nepal is also Known as ""God of Sight? "
4,Generalround,A,Who is known as the Living Martyr of Nepal 
5,Generalround,A,What is the capital of Koshi Province? 
6,Generalround,A,Who was the first President of Democratic Republic of Nepal? 
7,Generalround,A,What is the source of energy for the producers? 
8,Generalround,A,What is the full form of ILO? 
9,Generalround,A,Which district of Nepal has the highest number of airports? 
10,Generalround,A,When was Radio Nepal Established? 
11,Generalround,A,Which valley of Nepal is the Largest Valley? 
1,Generalround,B,Which day is celebrated as World Yoga Day? 
2,Generalround,B,Who was the first Disney Princess?
3,Generalround,B,Name the SAARC country that has the world's 2nd highest peak Mt K2.
4,Generalround,B,Who is also known as Adikavi in Nepali Literature? 
5,Generalround,B,Who is the current Governer of Koshi Province? 
6,Generalround,B,Who was the mother of Prithvi Narayan Shah? 
7,Generalround,B,Which gas is produced during the photosynthesis in plant ? 
8,Generalround,B,How many national parks are there in Nepal? 
9,Generalround,B,Which Festival is also known as festival of Lights? 
10,Generalround,B,Which is the smallest district of Nepal ? 
11,Generalround,B,Which is the biggest man made lake in Nepal? 
12,Generalround,B,In which district is Fewa lake located? 
13,Generalround,B,Which festival is also known as festival of color? 
1,Generalround,C,When was United Nations Established? 
2,Generalround,C,How many (1X1) square are there in a chess board? 
3,Generalround,C,In which district of Nepal fish isn't found? 
4,Generalround,C,Who discovered zero '0' ? 
5,Generalround,C,What is the capital city of Lumbini province? 
6,Generalround,C,How many bones are there in an adult human body? 
7,Generalround,C,How many district of Nepal lie in Himalayan Region? 
8,Generalround,C,When did Narayanhiti  Royal Massacre take place?  
9,Generalround,C,Which is the longest highway in Nepal? 
10,Generalround,C,Which river of Nepal is famous for Shaligram? 
11,Generalround,C,Which planet is also known as the red planet ? 
1,Generalround,D,Who discovered that the earth revolves around the sun? 
2,Generalround,D,What does FIFA stand for (English)? 
3,Generalround,D,What is the study of Animal called? 
4,Generalround,D,What is the male reproductive part of plant called ? 
5,Generalround,D,Name the capital city of Bagmati Province? 
6,Generalround,D,Who was the last king of Nepal? 
7,Generalround,D,Which Hindu deity wears a crescent moon and a serpent around his neck ? 
8,Generalround,D,Which is the deepest lake of Nepal? 
9,Generalround,D,Who wrote the epic Ramayan into Nepali from Sanskrit? 
10,Generalround,D,Which animal is known as the ship of desert? 
11,Generalround,D,Who wrote the novel 'Palpasa Café'? 
12,Generalround,D,Who is the singer of famous poem Fulko Aakhamaa Fulai Sansara? 
13,Generalround,D,Which planet is known for its beautiful rings? 
1,Generalround,E,Who wrote the novel Seto Dharti? 
2,Generalround,E,Which gas do plants absorb from the atmosphere during photosynthesis? 
3,Generalround,E,What do you call a group of bees? 
4,Generalround,E,Which fruits is also known as the 'queen of fruits' and has crown on top? 
5,Generalround,E,What is the vehicle(Bahans) of lord Vishnu called? 
6,Generalround,E,Where is Nanda bhauju Lake located? 
7,Generalround,E,Which is the smallest zone of Nepal? 
8,Generalround,E,Who is the first woman minister of Nepal ? 
9,Generalround,E,Which gas is abundantly found in sun? 
10,Generalround,E,Who was the first person to reach space ?
